Family Name,Algorithm Name,Year,Time Complexity Class,average_monthly_reads,years_since_problem_introduced,years_since_last_improvement,Number of Authors
Closest Pair Problem,Khuller; Matias,1995,3,4292.20618556701,48,43,2
LU Decomposition,Bunch; Hopcroft,1974,4.188,18572.23711340206,145,48,2
Sorting,Tree sort,1986,4,2298.422680412371,83,55,2
Sorting,Cube Sort Parallel Implementation,1992,4,781.1237113402062,83,55,2
Sorting,Shell Sort (Shell),1959,5,8659.01030927835,83,55,1
Sorting,Shell Sort (Frank & Lazarus),1960,4.5,8659.01030927835,83,55,2
Sorting,Shell Sort (Pratt),1971,4.01,8659.01030927835,83,55,1
Sorting,Shell Sort (Sedgewick),1986,4.33,8659.01030927835,83,55,1
Sorting,Bitonic Merge Sort Parallel Implementation,1968,2,3399.1546391752577,83,55,2
Sorting,Thorup's Sorting Algorithm,2002,4,1547.40206185567,83,55,1
Sorting,Flash Sort,1998,5,1171.2577319587629,83,55,1
Sorting,Bead Sort,2002,3,1965.8144329896909,83,55,3
Sorting,Burst Sort,2004,4,524.6907216494845,83,55,2
Sorting,Spreadsort,2002,4,266.16494845360825,83,55,1
Matrix Chain Multiplication,T. C. Hu ; M. T. Shing,1982,4,4052.020618556701,83,27,2
Longest Common Subsequence,Hunt and Szymanski,1977,3,347.3333333333333,49,46,2
Longest Common Subsequence,Mukhopadhyay,1980,3,0.0,49,46,1
Maximum Flow,Dinitz (with dynamic trees),1973,6,1797.9896907216496,72,26,5
Maximum Flow,Cherkassky,1977,6,19338.721649484534,72,26,4
Maximum Flow,Sleator & Tarjan,1983,6.01,6797.164948453608,72,26,2
Maximum Flow,Goldberg & Tarjan,1986,6,8716.731958762886,72,26,2
Maximum Flow,Ahuja & Orlin,1987,6,722.7525773195877,72,26,2
Maximum Flow,Cheriyan & Hagerup,1989,6.01,0.0,72,26,2
Maximum Flow,Cheriyan et al.,1990,5.99,0.0,72,26,3
Maximum Flow,Alon,1990,6,0.0,72,26,1
Maximum Flow,King et al. (KRT),1992,6,8716.731958762886,72,26,3
Maximum Flow,Phillips & Westbrook,1993,6,0.0,72,26,2
Maximum Flow,Goldberg & Rao,1997,6,8716.731958762886,72,26,2
Maximum Flow,Goldberg & Rao,1997,5.66,8716.731958762886,72,26,2
Maximum Flow,James B Orlin's + KRT (King; Rao; Tarjan)'s algorithm,2013,6,8716.731958762886,72,26,1
Graph Coloring,Lawler,1976,8,2187.226804123711,171,34,1
Graph Coloring,Schiermeyer,1994,8,0.0,171,34,1
Graph Coloring,Beigel & Eppstein,1995,8,0.0,171,34,2
Graph Coloring,Beigel & Eppstein,2000,8,13713.886597938144,171,34,2
Graph Coloring,Lawler,1976,8,13713.886597938144,171,34,1
Graph Coloring,Byskov,2004,8,13713.886597938144,171,34,1
Linear System,Conjugate Gradient,1952,3,12364.546391752578,83,14,2
Linear System,Harrow (Quantum),2009,2,5578.81443298969,83,14,3
Linear Programming,Karmarkar's algorithm,1984,6.5,1741.5876288659797,83,8,1
Linear Programming,Cohen; Lee and Song,2018,6,38723.13402061856,83,8,3
Linear Programming,Lee and Sidford,2015,5.5,38723.13402061856,83,8,2
Line segment intersection,Chazelle & Edelsbrunner,1992,4,1610.8969072164948,83,34,2
Line segment intersection,CHAZELLE,1986,4,47924.742268041235,83,34,1
Line segment intersection,NIEVERGELT. J.. AND PREPARATA (Section 3),1982,4,0.0,83,34,4
Line segment intersection,"Jean-Daniel Boissonnat and Franco P.
Preparata.",1997,4,0.0,83,34,2
Line segment intersection,Balaban.,1995,4,0.0,83,34,1
Line segment intersection,Boissonnat; Snoeyink,1999,4,0.0,83,34,2
Line segment intersection,Goodrich,1989,2,0.0,83,34,1
Convex Hull,Graham,1972,4,3352.505154639175,88,35,1
Convex Hull,W. Eddy Quickhull,1977,5,5597.020618556701,88,35,1
Convex Hull,Preparata and Hong,1977,4,5597.020618556701,88,35,2
Convex Hull,Andrew's algorithm,1979,4,5597.020618556701,88,35,1
Convex Hull,The ultimate planar convex hull algorithm,1986,4,445.30927835051546,88,35,2
Convex Hull,Chan's algorithm,1996,4,1018.5154639175256,88,35,1
